title,partner,rating,enrollment,subject,skills,duration,level,new_career,promotion
AstroTech: The Science and Technology behind Astronomical Discovery,The University of Edinburgh,"4.7
stars","7,418",Physical Science and Engineering,[],Beginner Level,Approx. 6 hours to complete,Missing,Missing
Visual Analytics with Tableau,"University of California, Davis","4.6
stars","24,220",Data Science,"['Visual Analytics', 'Map', 'Tableau Software', 'Data Visualization (DataViz)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Python Data Analysis,Rice University,"4.7
stars","14,515",Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
صياغة الأفكار المحفِّزة على الابتكار,University of Virginia,"4.9
stars","1,887",Business,[],"Beginner Level
No prior experience needed to participate in and benefit from this course.",Approx. 6 hours to complete,Missing,Missing
FinTech Disruptive Innovation: Implications for Society,The Hong Kong University of Science and Technology,"4.6
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Foundational Skills for Communicating About Health,University of Michigan,"4.6
stars",Missing,Health,"['Health Communication', 'Storytelling', 'Communication', 'Messaging', 'Tailoring communications']",Beginner Level,Approx. 14 hours to complete,Missing,Missing
The Technology of Music Production,Berklee College of Music,"4.8
stars",Missing,Arts and Humanities,"['Audio Production', 'Audio Recording', 'Music', 'Sound Design', 'Audio Editing']","Beginner Level
There is no prior experience or knowledge required to enroll in this course.",Approx. 21 hours to complete,Missing,Missing
Julia Scientific Programming,University of Cape Town,"4.5
stars",Missing,Data Science,"['Julia (Programming Language)', 'Computer Programming', 'Ipython', 'Data Visualization (DataViz)']",Beginner Level,Approx. 17 hours to complete,Missing,Missing
Java for Android,Vanderbilt University,"4.5
stars",Missing,Computer Science,"['Logic Programming', 'Android Studio', 'Java Programming', 'Object-Oriented Programming (OOP)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Leading Change in Health Informatics,Missing,"4.8
stars",Missing,Health,"['Digital Health', 'Information Technology Planning', 'Health Informatics', 'Strategic Leadership', 'Health Care']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Weight Management: Beyond Balancing Calories,Emory University,"4.6
stars",Missing,Health,[],Beginner Level,Approx. 17 hours to complete,Missing,Missing
Introduction to Blockchain for Financial Services,INSEAD,"4.6
stars",Missing,Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The History of Modern Israel - Part II: Challenges of Israel as a sovereign state,Tel Aviv University,"4.8
stars",Missing,Arts and Humanities,[],Beginner Level,Approx. 10 hours to complete,Missing,Missing
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,"4.9
stars",Missing,Computer Science,"['Microsoft Excel Vba', 'Computer Programming', 'Problem Solving', 'Debugging']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Medical Applications of Particle Accelerators (NPAP MOOC),Lund University,"4.7
stars",Missing,Health,[],Beginner Level,Approx. 8 hours to complete,Missing,Missing
"Risk, Return & Valuation",University of Michigan,"4.8
stars",Missing,Business,"['Calculating the return of a project', 'Calculating the risk of a project', 'Valuing Projects', 'Valuing Companies']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Writing and Editing: Word Choice and Word Order,University of Michigan,Missing,Missing,Personal Development,"['Persuasion', 'Creativity', 'Writing', 'Time management', 'Editing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Politics and Economics of International Energy,Sciences Po,"4.7
stars",Missing,Social Sciences,[],Beginner Level,Approx. 28 hours to complete,Missing,Missing
What Is Contemporary Art?,The Museum of Modern Art,"4.7
stars",Missing,Arts and Humanities,"['Creativity', 'Art', 'History', 'Museums', 'Art History']",Beginner Level,Approx. 11 hours to complete,Missing,Missing
Time Value of Money,University of Michigan,"4.9
stars",Missing,Business,"['Financial Analysis', 'Financial Forecast', 'Developing Financial Models']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Bonds & Stocks,University of Michigan,"4.7
stars",Missing,Business,"['Pricing Stocks', 'Trading in Financial Markets', 'Pricing Bonds']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Learning to Teach Online,UNSW Sydney (The University of New South Wales),"4.7
stars",Missing,Social Sciences,"['Teaching', 'Online Learning', 'Evaluation', 'Planning']",Beginner Level,Approx. 17 hours to complete,Missing,Missing
From Brand to Image: Creating High Impact Campaigns That Tell Brand Stories,IE Business School,"4.6
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Coexistence in Medieval Spain: Jews, Christians, and Muslims",University of Colorado System,"4.6
stars",Missing,Arts and Humanities,[],Beginner Level,Approx. 26 hours to complete,Missing,Missing
FinTech and the Transformation in Financial Services,Copenhagen Business School,"4.3
stars",Missing,Business,"['Open Banking', 'Financial Technology', 'Crowdfunding', 'Peer-To-Peer Lending']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Cybersecurity Policy for Water and Electricity Infrastructures,University of Colorado System,"4.6
stars",Missing,Social Sciences,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Patrick Henry: Forgotten Founder,Missing,"4.9
stars",Missing,Arts and Humanities,[],Beginner Level,Approx. 6 hours to complete,Missing,Missing
Data Science for Business Innovation,Missing,"4.0
stars",Missing,Data Science,"['Data Science', 'Business Analytics', 'Decision-Making', 'Data Analysis', 'Big Data']",Beginner Level,Approx. 7 hours to complete,Missing,Missing
Outbreaks and Epidemics,Missing,"4.8
stars",Missing,Health,"['Statistics', 'Epidemiology', 'Public Health', 'Outbreak investigation']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Psychology of Popularity,The University of North Carolina at Chapel Hill,"4.6
stars",Missing,Health,[],Beginner Level,Approx. 7 hours to complete,Missing,Missing
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,"4.7
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Data Science Methodology,IBM,"4.6
stars",Missing,Data Science,[],Beginner Level,Approx. 9 hours to complete,Missing,Missing
Deciphering Secrets: The Illuminated Manuscripts of Medieval Europe,University of Colorado System,"4.7
stars",Missing,Arts and Humanities,[],Beginner Level,Approx. 53 hours to complete,Missing,Missing
Inspiring Leadership through Emotional Intelligence,Case Western Reserve University,"4.7
stars",Missing,Business,"['Mindfulness', 'Leadership', 'Emotional Intelligence', 'Coaching']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,Missing,"4.9
stars",Missing,Personal Development,[],Beginner Level,Approx. 16 hours to complete,Missing,Missing
Computer Simulations,"University of California, Davis",Missing,Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Financial Accounting Fundamentals,University of Virginia,"4.8
stars",Missing,Business,"['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']","Beginner Level
No prior experience needed to participate in and benefit from this course.",Approx. 13 hours to complete,Missing,Missing
Protecting Business Innovations via Copyright,The Hong Kong University of Science and Technology,"4.8
stars",Missing,Business,"['start-up business', 'Intellectual Property', 'Business Strategy', 'Business Law', 'Copyright Protection']",Beginner Level,Approx. 12 hours to complete,Missing,Missing
Doing Business in Russia,Saint Petersburg State University,Missing,Missing,Business,[],Beginner Level,Approx. 9 hours to complete,Missing,Missing
EMT Foundations,University of Colorado System,"4.8
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Espace mondial, a French vision of Global studies",Sciences Po,"4.6
stars",Missing,Social Sciences,[],Beginner Level,Approx. 18 hours to complete,Missing,Missing
Enterprise Systems,University of Minnesota,"4.8
stars",Missing,Information Technology,"['Management', 'IT Skills and Knowledge']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Data Analysis and Presentation Skills: the PwC Approach Final Project,Missing,"4.7
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Global Energy and Climate Policy,Missing,"4.6
stars",Missing,Social Sciences,[],Beginner Level,Approx. 19 hours to complete,Missing,Missing
The Cosmopolitan Medieval Arabic World,Universiteit Leiden,"4.8
stars",Missing,Arts and Humanities,[],Beginner Level,Approx. 27 hours to complete,Missing,Missing
Foundations of Public Health Practice: The Public Health Toolkit,Imperial College London,Missing,Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
International Women's Health and Human Rights,Stanford University,"4.9
stars",Missing,Health,"['Health Education', 'Reproductive Health', 'Community Health', 'Sexually Transmitted Infections']",Beginner Level,Approx. 64 hours to complete,Missing,Missing
Security and Privacy for Big Data - Part 1,EIT Digital ,"4.7
stars",Missing,Information Technology,[],Beginner Level,Approx. 1 hour to complete,Missing,Missing
Introduction to Web Development,"University of California, Davis","4.7
stars",Missing,Computer Science,"['Css Code', 'Html', 'JavaScript', 'Cascading Style Sheets (CCS)']",Beginner Level,Approx. 25 hours to complete,Missing,Missing
Marketing in an Analog World,University of Illinois at Urbana-Champaign,"4.7
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Understanding and Visualizing Data with Python,University of Michigan,"4.7
stars",Missing,Data Science,"['Statistics', 'Data Analysis', 'Python Programming', 'Data Visualization (DataViz)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Business Model Innovation for Sustainable Landscape Restoration,Erasmus University Rotterdam,"4.5
stars",Missing,Business,[],Beginner Level,Approx. 28 hours to complete,Missing,Missing
الخطابة الإقناعية: تحفيز الجماهير بالحجج المُقنِعة واللغة المؤثِّرة,University of Washington,"4.4
stars",Missing,Personal Development,[],Beginner Level,Approx. 14 hours to complete,Missing,Missing
Pain Management: Easing Pain in Palliative Care,University of Colorado System,"4.7
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Psychology of Thrill Seekers,Emory University,"4.5
stars",Missing,Health,[],Beginner Level,Approx. 15 hours to complete,Missing,Missing
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,"4.7
stars",Missing,Business,"['Strategic Management', 'Growth Strategies', 'Marketing', 'Entrepreneurship']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
